"CASE	""SERIAL""	""REF""	""QUESTNNR""	""MODE""	""STARTED""	""E001""	""E002""	""E003_01""	""E004""	""E004_02""	""E004_03""	""E004_04""	""E004_05""	""E004_16""	""E004_06""	""E004_07""	""E004_08""	""E004_09""	""E004_10""	""E004_12""	""E004_13""	""E004_14""	""E004_15""	""E004_15a""	""E005""	""E006""	""J001_01""	""J001_02""	""J003""	""J004""	""J005""	""J006""	""J007""	""J008""	""P001_01""	""P002""	""P005""	""P003""	""P004_01""	""P004_02""	""PP01""	""PP02_01""	""PP02_02""	""ZG01_CP""	""ZG01""	""P101_01""	""P101_02""	""P102""	""P103_01""	""P104""	""P105_01""	""P106_01""	""P106_02""	""P106_03""	""P106_04""	""SD01""	""SD02""	""SD04""	""SD04_01""	""SD04_02""	""SD04_03""	""SD04_04""	""SD04_05""	""SD04_06""	""SD04_07""	""SD04_08""	""SD04_09""	""SD04_10""	""SD04_11""	""SD04_11a""	""SD06""	""SD07""	""SD08""	""FINISHED""	""Q_VIEWER""	""LASTPAGE""	""MAXPAGE""	""MISSING""	""MISSREL""	""DEG_MISS""	""DEG_TIME""	""DEGRADE"""
"391			""base""	""interview""	2016-05-29 22:45:33	1	1	""3""	3	F	T	F	F	F	T	T	F	F	F	F	F	F	F		2	3	5	5	2			1	1	1	2	2	1	1	3		4			9	2	2	2	4		4		5	5	5	5	X-9	X-9	1	F	F	F	F	F	T	F	F	F	F	F		X-9	X-9	3	T	F	21	21	28	11	149	35	184"
"405			""base""	""interview""	2016-05-29 23:45:06	1	1	""3""	3	F	F	F	F	F	T	F	T	T	F	F	F	F	F		1	1	4	4	2			1	1	1	5	1	2	4			4			10	2	2	2	4		4		4	4	4	4	2	6	1	F	F	F	F	F	F	F	T	F	F	F		1	7	4	T	F	21	21	23	1	2	60	62"
"434			""base""	""interview""	2016-05-30 07:30:36	1	1	""3""	3	F	T	F	F	F	F	T	F	F	F	F	F	F	T	""N24""	1	1	4	4	2			4	2		3	2	2	3		1.5	4			11	1	2	3	4		4		4	3	4	4	1	4	1	F	F	F	T	F	F	F	F	F	F	F		2	X-9	3	T	F	21	21	21	2	22	2	25"
"441			""base""	""interview""	2016-05-30 08:11:52	1	1	""3""	3	F	F	T	F	F	T	F	F	F	F	F	F	T	F		1	3	4	2	2			3	2		1.5	3	2	4			4			12	2	3	2	4		4		4	3	3	4	2	6	1	F	F	F	F	F	F	T	F	F	F	F		10	2	2	T	F	21	21	21	1	2	9	11"
"443			""base""	""interview""	2016-05-30 08:24:54	2	1																												0	3	1	4			4			12	1	2	2	4		4		3	2	3	5	1	X-1	2	F	F	F	F	F	T	T	F	F	F	F		1	X-9	3	T	F	21	21	31	4	41	12	53"
"446			""base""	""interview""	2016-05-30 09:45:03	1	1	""4""	4	F	F	T	F	F	T	F	T	F	F	F	F	T	F		1	1	4	2	2			3	1	1	1	2	1	4			4			13	2	2	4	4		4		4	4	4	4	2	6	2	T	F	F	F	F	F	T	F	F	F	F		6	2	2	T	F	21	21	21	1	2	13	14"
"448			""base""	""interview""	2016-05-30 10:16:36	1	2		1	F	F	F	F	F	F	F	F	F	F	F	F	T	F		1	3	5	5	2			4	2		10	2	2	4			4			13	1	2	2	4		2	""20,00""	5	5	3	4	1	5	1	F	F	F	F	F	F	F	T	F	F	F		10	6	2	T	F	21	21	19	1	1	6	7"
"460			""base""	""interview""	2016-05-30 14:41:38	2	1																												4.99	2	2	3		0	2	""0,50""		14	1	1	5	4		4		1	1	1	5	2	6	1	F	F	F	F	F	F	T	F	F	F	F		10	2	6	T	F	21	21	21	1	1	36	37"
"465			""base""	""interview""	2016-05-30 15:29:57	1	1	""3""	3	F	F	F	F	F	T	F	F	F	F	F	F	T	T	""Kicker""	1	3	5	5	2			2	2		5	2	2	4			4			14	2	4	2	4		4		2	4	2	2	2	6	1	T	F	F	F	F	F	F	F	F	F	F		4	2	2	T	F	21	21	21	1	2	7	9"
"467			""base""	""interview""	2016-05-30 15:33:20	1	1	""5""	5	F	F	T	F	T	T	F	T	T	F	F	F	F	F		2	2	1	1	2			3	2		0	X-9	1	4			4			16	2	1	1	4		4		1	1	1	1	1	6	2	T	F	F	F	F	F	F	F	T	F	F		7	X-9	2	T	F	21	21	26	6	73	18	91"
"470			""base""	""interview""	2016-05-30 16:04:41	1	1	""9""	4	T	F	F	F	T	F	F	F	F	F	T	F	F	T	""spiegel international, bbc, deutsche welle, guardian ""	1	1	5	4	2			2	1	1	10	1	2	4			1	""1,00""		15	1	3	3	4		4		5	5	5	4	1	X-1	1	F	F	F	F	F	F	F	F	T	F	F		2	X-9	2	T	F	21	21	20	2	22	2	24"
"473			""base""	""interview""	2016-05-30 16:30:45	2	1																												0	3	1	4			4			15	2	2	2	4		4		5	5	2	3	2	6	1	T	F	F	F	F	F	F	F	F	F	F		4	X-9	2	T	F	21	21	31	4	41	10	51"
"474			""base""	""interview""	2016-05-30 08:24:52	1	1	""4""	1	F	F	F	F	F	F	F	F	F	F	F	F	F	T		4	3	3	3	2			2	2		3	2	1	4			4			11	2	1	5	4		4		3	4	2	4	1	6	1	T	F	F	F	F	F	F	F	F	F	F		4	2	1	T	F	21	21	23	4	43	19	63"
"483			""base""	""interview""	2016-05-30 17:53:30	1	1	""3""	3	F	F	T	F	F	F	F	F	F	T	F	F	T	F		3	3	3	5	1	1	5		1	2	3	2	1	4			4			16	1	3	3	4		4		5	5	3	2	1	6	1	T	F	F	F	F	F	F	F	F	F	F		2	X-9	3	T	F	21	21	23	2	24	7	31"
"484			""base""	""interview""	2016-05-30 17:54:25	2	1																												2	2	1	4			4			19	2	2	1	4		4		4	4	3	5	X-9	X-9	1	F	F	F	F	T	F	F	F	F	F	F		X-9	X-9	3	T	F	21	21	41	17	228	35	263"
"492			""base""	""interview""	2016-05-30 18:18:34	1	1	""3""	2	F	F	F	F	F	T	F	F	F	F	F	F	F	T	""Volksstimme  Altmark ""	2	1	5	5	2			5	2		5	2	1	4			4			17	2	1	1	4		4		5	5	5	3	1	6	1	T	F	F	F	F	F	F	F	F	F	F		X-9	7	3	T	F	21	21	25	4	44	4	48"
